ID,X,Y,zona
eTEX_5,503001.3009,2143900.165,zona2a
eTEX_6,502826.3847,2143316.1659999997,zona2a
eTEX_8,503497.4926,2142179.08,zona2a
eTEX_9,503526.8383,2141287.765,zona2a
eTEX_7,503030.6455,2142855.171,zona2a
sSC_2,500085.0,2133845.0,zona3
sSC_3,499488.0,2133877.0,zona3
t83_B,503315.0,2134655.0,zona3
sSC_1,503516.0,2135484.0,zona3
tRM_1B,503334.0,2134262.0,zona3
tRM_7,503016.0,2131802.0,zona3
RSC-5,500496.0,2133495.0,zona3
RSC-4,500817.0,2133557.0,zona3
RSC-1,501313.0,2133618.0,zona3
RSC-2,501634.0,2133956.0,zona3
sSC_2,500085.0,2133845.0,zona3a
sSC_3,499488.0,2133877.0,zona3a
t83_B,503315.0,2134655.0,zona3a
sSC_1,503516.0,2135484.0,zona3a
tRM_1B,503334.0,2134262.0,zona3a
tRM_7,503016.0,2131802.0,zona3a
RSC-5,500496.0,2133495.0,zona3a
RSC-4,500817.0,2133557.0,zona3a
RSC-1,501313.0,2133618.0,zona3a
RSC-2,501634.0,2133956.0,zona3a
t1549V,514931.0,2127414.0,zona4
t1944,518848.0,2126907.0,zona4
t553,519645.0,2126049.0,zona4
tB_426,521093.0,2123519.0,zona4
t99_B,516839.0,2125307.0,zona4
t81_B,516219.0,2127184.0,zona4
eTEX_17,518977.3,2123716.91,zona4
t1934V,513779.0,2123191.0,zona4a
t94_B,511391.0,2123287.0,zona4a
tB_502,513488.0,2121098.0,zona4a
eCHAL_4,513489.41,2121283.99,zona4a
eCHAL_5,513810.77,2121130.56,zona4a
eCHAL_6,513781.5199,2121192.005,zona4a
eCHAL_7,513547.99799999996,2121038.1569999997,zona4a
t2146,503179.0,2124091.0,zona5
t2147,501777.0,2123737.0,zona5
t82_B,504238.0,2123374.0,zona5
sTec_10,501476.0,2124659.0,zona5
sTec_11,501597.0,2124497.0,zona5
sTec_12,502121.0,2124423.0,zona5
sTec_13,501779.0,2124406.0,zona5
sTec_14,502113.0,2124639.0,zona5
sTec_15,502326.0,2124457.0,zona5
sTec_18,503204.0,2124370.0,zona5
sTec_20,503647.0,2123686.0,zona5
sTec_21,503900.0,2123602.0,zona5
sTec_9,501332.0,2124686.0,zona5
sTec_17,502892.0,2124315.0,zona5
sTec_19,503204.0,2124168.0,zona5
.2157-V,498108.0,2129028.0,zona5a
c1997,496097.0,2128987.0,zona5a
sSL_2,497783.0,2129060.0,zona5a
t2235,500938.0,2125146.0,zona5a
sR_11,499184.0,2127397.0,zona5a
sSL_10,495713.0,2128981.0,zona5a
sSL_12,495360.0,2128726.0,zona5a
sSL_3,497036.0,2129582.0,zona5a
sSL_8,496435.0,2128999.0,zona5a
sTec_16,500873.0,2125426.0,zona5a
sTec_5,500626.0,2125033.0,zona5a
sTec_7,500747.0,2124403.0,zona5a
sTec_8,500542.0,2124228.0,zona5a
sTul_1,500470.0,2127626.0,zona5a
sTul_10,498224.0,2129148.0,zona5a
sTul_2,499862.0,2127969.0,zona5a
sTul_3,499483.0,2127784.0,zona5a
sTul_4,499774.0,2128224.0,zona5a
sTul_5,499404.0,2128348.0,zona5a
sTul_8,498541.0,2128735.0,zona5a
sR_21,498543.0,2122563.0,zona5a
s215,496162.0,2128409.0,zona5a
sR_16,499852.0,2126828.0,zona5a
sR_18,500141.0,2123254.0,zona5a
sR_19,498387.0,2122183.0,zona5a
sR_22,500132.0,2122660.0,zona5a
sR_24,499460.0,2123283.0,zona5a
sS_11,496467.0,2128172.0,zona5a
sS_13,498497.0,2128189.0,zona5a
sR_26,500353.0,2122335.0,zona5a
sS_12,498012.0,2128664.0,zona5a
sTec_3,500817.0,2125678.0,zona5a
sTul_9,498153.0,2128420.0,zona5a
sSL_11,495413.0,2128559.0,zona5a
sSL_4,497202.0,2129606.0,zona5a
sSL_7,496647.0,2129289.0,zona5a
sSL_6,497439.0,2129597.0,zona5a
sSL_9,496048.0,2129025.0,zona5a
sTul_6,499184.0,2128488.0,zona5a
s276,498585.0,2127177.0,zona5a
sTec_6,500678.0,2124832.0,zona5a
s252,499028.0,2127046.0,zona5a
